gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,LOEUF_v4
FAS,Apoptosis/cell death,Other Mendelian,0.441,0.8117,0.005041,52.0,75.4398,10.9865,0.372
FAS,Apoptosis/cell death,Other Mendelian,0.441,0.8117,0.005041,52.0,75.4398,10.9865,0.372
TP53,Apoptosis/cell death,Other Mendelian,0.469,0.53235,0.025518,54.0,72.9493,14.6837,0.449
TP53,Apoptosis/cell death,Other Mendelian,0.469,0.53235,0.025518,54.0,72.9493,14.6837,0.449
CASP3,Apoptosis/cell death,Other Mendelian,0.686,0.10017,0.058861,54.0,73.5942,15.6612,0.859
CASP3,Apoptosis/cell death,Other Mendelian,0.686,0.10017,0.058861,54.0,73.5942,15.6612,0.859
BCL2,Apoptosis/cell death,Other Mendelian,0.712,0.55903,0.002648,51.0,49.6889,4.623810000000001,0.368
BCL2,Apoptosis/cell death,Other Mendelian,0.712,0.55903,0.002648,51.0,49.6889,4.623810000000001,0.368
FASLG,Apoptosis/cell death,Not classified,0.716,0.18345,0.003212,3.0,5.80301,0.1188024999999999,0.606
FASLG,Apoptosis/cell death,Not classified,0.716,0.18345,0.003212,3.0,5.80301,0.1188024999999999,0.606
BAX,Apoptosis/cell death,Not classified,0.751,0.31746,0.006247,54.0,212.862,36.0124,1.245
BAX,Apoptosis/cell death,Not classified,0.751,0.31746,0.006247,54.0,212.862,36.0124,1.245
CASP8,Apoptosis/cell death,Other Mendelian,0.811,4e-06,0.019349,40.0,26.7348,4.322735,0.695
CASP8,Apoptosis/cell death,Other Mendelian,0.811,4e-06,0.019349,40.0,26.7348,4.322735,0.695
CASP9,Apoptosis/cell death,Not classified,0.974,7e-06,0.014932,54.0,56.4885,8.279085,0.994
CASP9,Apoptosis/cell death,Not classified,0.974,7e-06,0.014932,54.0,56.4885,8.279085,0.994
DFFB,Apoptosis/cell death,Not classified,1.08,1.1e-05,0.004969,54.0,22.1073,5.53007,1.143
DFFB,Apoptosis/cell death,Not classified,1.08,1.1e-05,0.004969,54.0,22.1073,5.53007,1.143
DFFA,Apoptosis/cell death,Not classified,1.161,8.7e-05,0.0,54.0,27.7305,12.9309,0.784
DFFA,Apoptosis/cell death,Not classified,1.161,8.7e-05,0.0,54.0,27.7305,12.9309,0.784
BAK1,Apoptosis/cell death,Not classified,1.369,7e-06,0.013534,54.0,56.6773,14.01105,1.197
BAK1,Apoptosis/cell death,Not classified,1.369,7e-06,0.013534,54.0,56.6773,14.01105,1.197
BAD,Apoptosis/cell death,Not classified,1.533,0.004624,0.007595,54.0,70.8418,47.9799,1.889
BAD,Apoptosis/cell death,Not classified,1.533,0.004624,0.007595,54.0,70.8418,47.9799,1.889
BBC3,Apoptosis/cell death,Not classified,1.589,0.003976,0.000238,54.0,18.8635,6.668480000000001,1.293
BBC3,Apoptosis/cell death,Not classified,1.589,0.003976,0.000238,54.0,18.8635,6.668480000000001,1.293
PMAIP1,Apoptosis/cell death,Not classified,1.848,0.11182,0.003967,37.0,188.434,1.551155,1.855
PMAIP1,Apoptosis/cell death,Not classified,1.848,0.11182,0.003967,37.0,188.434,1.551155,1.855
BID,Apoptosis/cell death,Not classified,1.917,0.0,0.003171,54.0,74.762,13.7229,1.553
BID,Apoptosis/cell death,Not classified,1.917,0.0,0.003171,54.0,74.762,13.7229,1.553
MSN,Other,Not classified,0.13,0.99967,0.003457,54.0,365.937,93.5317,
PPP3CA,Other,Other Mendelian,0.158,0.99988,0.001635,54.0,183.152,22.0106,0.243
PPP3CA,Other,Other Mendelian,0.158,0.99988,0.001635,54.0,183.152,22.0106,0.243
PTGS2,Other,Not classified,0.263,0.99597,0.036779,43.0,21.8843,1.727645,0.33
PTGS2,Other,Not classified,0.263,0.99597,0.036779,43.0,21.8843,1.727645,0.33
CDH2,Other,Not classified,0.29,0.99171,0.0,41.0,67.453,6.6237200000000005,0.336
CDH2,Other,Not classified,0.29,0.99171,0.0,41.0,67.453,6.6237200000000005,0.336
PTGER4,Other,Not classified,0.3,0.9755,0.013502,40.0,24.3929,5.3776150000000005,0.546
PTGER4,Other,Not classified,0.3,0.9755,0.013502,40.0,24.3929,5.3776150000000005,0.546
PIAS3,Other,Not classified,0.301,0.98499,0.0,54.0,104.672,37.98775,0.703
PIAS3,Other,Not classified,0.301,0.98499,0.0,54.0,104.672,37.98775,0.703
RDX,Other,Not classified,0.348,0.85245,0.000864,54.0,182.218,25.14315,0.542
RDX,Other,Not classified,0.348,0.85245,0.000864,54.0,182.218,25.14315,0.542
SPTLC2,Other,Other Mendelian,0.39,0.78035,0.009789,54.0,49.8686,13.103000000000002,0.494
SPTLC2,Other,Other Mendelian,0.39,0.78035,0.009789,54.0,49.8686,13.103000000000002,0.494
CCND1,Other,Not classified,0.41,0.89057,0.00252,53.0,202.003,22.40565,0.609
CCND1,Other,Not classified,0.41,0.89057,0.00252,53.0,202.003,22.40565,0.609
GUCY1A2,Other,Not classified,0.434,0.31409,0.012109,39.0,16.0488,1.581515,0.704
GUCY1A2,Other,Not classified,0.434,0.31409,0.012109,39.0,16.0488,1.581515,0.704
GAB1,Other,Not classified,0.439,0.18433,0.035806,54.0,41.299,8.220265000000001,0.503
GAB1,Other,Not classified,0.439,0.18433,0.035806,54.0,41.299,8.220265000000001,0.503
EZR,Other,Not classified,0.44,0.17989,0.000864,54.0,351.107,80.3966,0.697
EZR,Other,Not classified,0.44,0.17989,0.000864,54.0,351.107,80.3966,0.697
RYR1,Other,Syndromic/developmental,0.456,0.0,0.016821,22.0,423.538,0.861658,0.644
RYR1,Other,Syndromic/developmental,0.456,0.0,0.016821,22.0,423.538,0.861658,0.644
CDK2,Other,Not classified,0.485,0.61054,0.0,54.0,64.4682,16.6147,0.39
CDK2,Other,Not classified,0.485,0.61054,0.0,54.0,64.4682,16.6147,0.39
PTGER3,Other,Not classified,0.579,0.37217,0.015133,28.0,73.0253,1.261975,0.778
ICAM1,Other,Not classified,0.618,0.035295,0.0,53.0,217.444,14.7022,0.876
ICAM1,Other,Not classified,0.618,0.035295,0.0,53.0,217.444,14.7022,0.876
CDK4,Other,Not classified,0.642,0.062909,0.002808,54.0,154.326,46.039,0.61
CDK4,Other,Not classified,0.642,0.062909,0.002808,54.0,154.326,46.039,0.61
NOS2,Other,Not classified,0.755,0.0,0.012598,12.0,4.64759,0.5601240000000001,0.858
NOS2,Other,Not classified,0.755,0.0,0.012598,12.0,4.64759,0.5601240000000001,0.858
ADCY4,Other,Not classified,0.892,0.0,0.049397,53.0,81.2412,13.6515,1.089
ADCY4,Other,Not classified,0.892,0.0,0.049397,53.0,81.2412,13.6515,1.089
F7,Other,Not classified,0.902,1.3e-05,0.0,8.0,83.6402,0.2627035,1.113
F7,Other,Not classified,0.902,1.3e-05,0.0,8.0,83.6402,0.2627035,1.113
CYCS,Other,Not classified,0.914,0.63647,0.042746,54.0,131.937,41.40375,0.335
CYCS,Other,Not classified,0.914,0.63647,0.042746,54.0,131.937,41.40375,0.335
DUSP1,Other,Not classified,0.917,0.010151,0.054703,54.0,1984.27,416.499,0.691
DUSP1,Other,Not classified,0.917,0.010151,0.054703,54.0,1984.27,416.499,0.691
F10,Other,Not classified,0.97,2e-06,0.0,45.0,75.531,6.5552,0.968
F10,Other,Not classified,0.97,2e-06,0.0,45.0,75.531,6.5552,0.968
SPTLC1,Other,Other Mendelian,0.978,0.0,0.009789,54.0,55.6405,19.4993,1.068
SPTLC1,Other,Other Mendelian,0.978,0.0,0.009789,54.0,55.6405,19.4993,1.068
PTGER2,Other,Not classified,0.982,0.00749,0.013502,35.0,54.8665,2.17047,1.241
PTGER2,Other,Not classified,0.982,0.00749,0.013502,35.0,54.8665,2.17047,1.241
NOX1,Other,Not classified,1.064,0.0,0.023568,4.0,26.5133,0.3318355,
SMPD1,Other,Not classified,1.085,0.0,0.016409,54.0,79.4135,36.39075,1.057
SMPD1,Other,Not classified,1.085,0.0,0.016409,54.0,79.4135,36.39075,1.057
CSF2RA,Other,Not classified,1.119,0.0,0.010672,39.0,47.509,1.49715,
GADD45A,Other,Not classified,1.131,0.044075,6e-05,54.0,284.633,33.7057,0.781
GADD45A,Other,Not classified,1.131,0.044075,6e-05,54.0,284.633,33.7057,0.781
F2RL1,Other,Not classified,1.327,0.000148,0.024043,28.0,61.6712,1.152045,0.989
F2RL1,Other,Not classified,1.327,0.000148,0.024043,28.0,61.6712,1.152045,0.989
CDKN1A,Other,Not classified,1.375,0.001857,0.002607,54.0,417.829,92.4123,1.492
CDKN1A,Other,Not classified,1.375,0.001857,0.002607,54.0,417.829,92.4123,1.492
MMP1,Other,Not classified,1.525,0.0,0.000122,6.0,51.8537,0.05628425,1.291
MMP1,Other,Not classified,1.525,0.0,0.000122,6.0,51.8537,0.05628425,1.291
SMPD2,Other,Not classified,1.583,0.0,0.011324,54.0,149.658,12.36355,1.046
SMPD2,Other,Not classified,1.583,0.0,0.011324,54.0,149.658,12.36355,1.046
PTGER1,Other,Not classified,1.584,0.000973,0.015133,15.0,37.0692,0.6076980000000001,1.889
PTGER1,Other,Not classified,1.584,0.000973,0.015133,15.0,37.0692,0.6076980000000001,1.889
TPSAB1,Other,Not classified,1.95,0.0,0.0,36.0,92.6011,3.47465,1.9
TPSAB1,Other,Not classified,1.95,0.0,0.0,36.0,92.6011,3.47465,1.9
