gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,tau,n_expr,max_tissue,gtex_tissue_category,kegg_primary_pathway
ADCY4,Other,Not classified,0.892,0.0,0.049397,53.0,81.2412,13.6515,0.4087160419998644,53.0,Adipose - Subcutaneous,Broad,Melanogenesis
F7,Other,Not classified,0.902,1.3e-05,0.0,8.0,83.6402,0.2627035,0.9252508289626429,8.0,Liver,Liver-restricted,Other (in KEGG)
CYCS,Other,Not classified,0.914,0.63647,0.042746,54.0,131.937,41.40375,0.23247865376634666,54.0,Heart - Atrial Appendage,Housekeeping,Apoptosis
DUSP1,Other,Not classified,0.917,0.010151,0.054703,54.0,1984.27,416.499,0.24745476471344735,54.0,Artery - Aorta,Housekeeping,MAPK signaling
F10,Other,Not classified,0.97,2e-06,0.0,45.0,75.531,6.5552,0.5482300276770721,45.0,Cervix - Ectocervix,Broad,Other (in KEGG)
SPTLC1,Other,Other Mendelian,0.978,0.0,0.009789,54.0,55.6405,19.4993,0.2750562600910389,54.0,Cells - Cultured fibroblasts,Housekeeping,Other (in KEGG)
PTGER2,Other,Not classified,0.982,0.00749,0.013502,35.0,54.8665,2.17047,0.685231124953308,35.0,Cells - Cultured fibroblasts,Other-restricted,Other (in KEGG)
NOX1,Other,Not classified,1.064,0.0,0.023568,4.0,26.5133,0.3318355,0.91378059683551,4.0,Colon - Transverse,Other-restricted,Other (in KEGG)
SMPD1,Other,Not classified,1.085,0.0,0.016409,54.0,79.4135,36.39075,0.18622836886201827,54.0,Cells - Cultured fibroblasts,Housekeeping,Other (in KEGG)
CSF2RA,Other,Not classified,1.119,0.0,0.010672,39.0,47.509,1.49715,0.7508842607103321,39.0,Whole Blood,Immune-restricted,Cytokine-cytokine receptor
GADD45A,Other,Not classified,1.131,0.044075,6e-05,54.0,284.633,33.7057,0.3634809318146075,54.0,Artery - Aorta,Housekeeping,MAPK signaling
F2RL1,Other,Not classified,1.327,0.000148,0.024043,28.0,61.6712,1.152045,0.7305541664463513,28.0,Skin - Not Sun Exposed (Suprapubic),Skin-restricted,Other (in KEGG)
CDKN1A,Other,Not classified,1.375,0.001857,0.002607,54.0,417.829,92.4123,0.2951326455030933,54.0,Artery - Aorta,Housekeeping,PI3K-Akt signaling
MMP1,Other,Not classified,1.525,0.0,0.000122,6.0,51.8537,0.05628425,0.9449881216959036,6.0,Cells - Cultured fibroblasts,Other-restricted,Other (in KEGG)
SMPD2,Other,Not classified,1.583,0.0,0.011324,54.0,149.658,12.36355,0.48821584315757544,54.0,Testis,Broad,Other (in KEGG)
PTGER1,Other,Not classified,1.584,0.000973,0.015133,15.0,37.0692,0.6076980000000001,0.8417208292288969,15.0,Kidney - Medulla,Other-restricted,Other (in KEGG)
TPSAB1,Other,Not classified,1.95,0.0,0.0,36.0,92.6011,3.47465,0.5772999819826887,36.0,Lung,Broad,Other (in KEGG)
