gene,centrality_inv,kegg_inv,tau_pct,skin_top_inv,skin_z_pct,loeuf_pct,canonical,composite,cluster
CDK4,0.689922480620155,0.3410852713178295,0.265625,0.4251968503937008,0.5511811023622047,0.6046511627906976,False,0.4796103112474313,2
NOS2,0.41860465116279066,0.48062015503875966,0.796875,0.12598425196850394,0.14173228346456693,0.689922480620155,False,0.44228980370912935,3
ADCY4,0.10852713178294571,0.12403100775193798,0.5078125,0.4645669291338582,0.4409448818897638,0.7286821705426356,False,0.39576077018352357,4
F7,0.937984496124031,0.9147286821705426,0.96875,0.5354330708661417,0.30708661417322836,0.7364341085271318,False,0.7334028286435125,3
CYCS,0.1472868217054264,0.2713178294573644,0.1875,0.047244094488189003,0.06299212598425197,0.7441860465116279,False,0.24342115302447662,3
DUSP1,0.0852713178294574,0.7984496124031008,0.21875,0.8700787401574803,0.8346456692913385,0.751937984496124,False,0.5931888873629169,2
F10,0.937984496124031,0.9147286821705426,0.6796875,0.6771653543307087,0.7165354330708661,0.7674418604651163,False,0.7822572210268776,1
SPTLC1,0.5077519379844961,0.7984496124031008,0.2734375,0.7007874015748031,0.7874015748031497,0.7829457364341085,False,0.6417956271999431,2
PTGER2,0.3914728682170543,0.7093023255813953,0.7890625,0.2755905511811023,0.2440944881889764,0.7906976744186046,False,0.5333700679311888,3
NOX1,0.28682170542635654,0.7093023255813953,0.9453125,0.8700787401574803,0.7007874015748031,0.813953488372093,False,0.7210426935186881,1
SMPD1,0.3410852713178295,0.7635658914728682,0.09375,0.7598425196850394,0.8110236220472441,0.8294573643410853,False,0.5997874448106778,2
CSF2RA,0.4883720930232558,0.7984496124031008,0.859375,0.5354330708661417,0.2992125984251969,0.8372093023255814,False,0.6363419461738794,3
GADD45A,0.875968992248062,0.41860465116279066,0.40625,0.4645669291338582,0.5196850393700787,0.8449612403100775,False,0.5883394753708112,2
F2RL1,0.2790697674418605,0.8488372093023255,0.8203125,0.9566929133858267,0.952755905511811,0.8837209302325582,False,0.7902315376457304,1
CDKN1A,0.7131782945736433,0.2325581395348837,0.328125,0.7007874015748031,0.7716535433070866,0.8992248062015504,False,0.6075878641986612,2
MMP1,0.8682170542635659,0.6705426356589148,0.984375,0.49606299212598426,0.2125984251968504,0.9069767441860465,False,0.6897954752385603,3
SMPD2,0.4651162790697675,0.8488372093023255,0.609375,0.8700787401574803,0.8503937007874016,0.9224806201550387,False,0.7610469249120023,1
PTGER1,0.36046511627906974,0.7984496124031008,0.8984375,0.047244094488189003,0.09448818897637795,0.9302325581395349,False,0.5215528450477119,3
TPSAB1,0.937984496124031,0.9147286821705426,0.71875,0.8267716535433071,0.8740157480314961,0.9767441860465116,False,0.8748324609859813,1
